ACC_NUCCORE,Host_BIOSAMPLE,IsolationSource_BIOSAMPLE,sample_class
CP064342.1,Channa argus (snakehead fish),,Animal
CP064341.1,Channa argus (snakehead fish),,Animal
CP064340.1,Channa argus (snakehead fish),,Animal
CP064298.1,Homo sapiens,Ascites fluid,Human
CP064297.1,Homo sapiens,Ascites fluid,Human
CP064322.1,African Elephants,African Elephants,Animal
CP064321.1,African Elephants,African Elephants,Animal
CP064320.1,African Elephants,African Elephants,Animal
LR723681.1,moist arsenopyrite (FeAsS)-containing rock taken from a mine tunnel approximately 300 m below the ground in the Granites gold mine,moist arsenopyrite (FeAsS)-containing rock taken from a mine tunnel approximately 300 m below the ground in the Granites gold mine,Env.
LR723680.1,moist arsenopyrite (FeAsS)-containing rock taken from a mine tunnel approximately 300 m below the ground in the Granites gold mine,moist arsenopyrite (FeAsS)-containing rock taken from a mine tunnel approximately 300 m below the ground in the Granites gold mine,Env.
LR723679.1,moist arsenopyrite (FeAsS)-containing rock taken from a mine tunnel approximately 300 m below the ground in the Granites gold mine,moist arsenopyrite (FeAsS)-containing rock taken from a mine tunnel approximately 300 m below the ground in the Granites gold mine,Env.
LR723678.1,moist arsenopyrite (FeAsS)-containing rock taken from a mine tunnel approximately 300 m below the ground in the Granites gold mine,moist arsenopyrite (FeAsS)-containing rock taken from a mine tunnel approximately 300 m below the ground in the Granites gold mine,Env.
LR606153.1,paddy soil contaminated with arsenic due to geogenic reasons,paddy soil contaminated with arsenic due to geogenic reasons,Env.
LR606152.1,paddy soil contaminated with arsenic due to geogenic reasons,paddy soil contaminated with arsenic due to geogenic reasons,Env.
LR606151.1,paddy soil contaminated with arsenic due to geogenic reasons,paddy soil contaminated with arsenic due to geogenic reasons,Env.
LR606150.1,paddy soil contaminated with arsenic due to geogenic reasons,paddy soil contaminated with arsenic due to geogenic reasons,Env.
LR606149.1,paddy soil contaminated with arsenic due to geogenic reasons,paddy soil contaminated with arsenic due to geogenic reasons,Env.
LR606148.1,paddy soil contaminated with arsenic due to geogenic reasons,paddy soil contaminated with arsenic due to geogenic reasons,Env.
LR606147.1,paddy soil contaminated with arsenic due to geogenic reasons,paddy soil contaminated with arsenic due to geogenic reasons,Env.
CP037924.1,Homo sapiens,"Walter Reed Collection. Sansonetti, P. J., et al. (1982). ""Involvement of a plasmid in the invasive ability of Shigella flexneri."" Infect Immun 35(3): 852-860.",Human
CP064291.1,Homo sapiens,clinical isolate,Human
CP064290.1,Homo sapiens,clinical isolate,Human
CP064289.1,Homo sapiens,clinical isolate,Human
CP064288.1,Homo sapiens,clinical isolate,Human
CP064287.1,Homo sapiens,clinical isolate,Human
CP064286.1,Homo sapiens,clinical isolate,Human
CP064285.1,Homo sapiens,clinical isolate,Human
CP064284.1,Homo sapiens,clinical isolate,Human
CP064283.1,Homo sapiens,clinical isolate,Human
CP064282.1,Homo sapiens,clinical isolate,Human
CP064281.1,Homo sapiens,clinical isolate,Human
CP064280.1,Homo sapiens,clinical isolate,Human
CP064294.1,Homo sapiens,clinical isolate,Human
CP064293.1,Homo sapiens,clinical isolate,Human
CP063895.1,Human fecal samples,Human fecal samples,Human
CP063894.1,Human fecal samples,Human fecal samples,Human
CP063870.1,south China tiger,south China tiger,Animal
CP044027.1,pork,pork,Animal
CP044026.1,pork,pork,Animal
CP044025.1,pork,pork,Animal
CP044024.1,pork,pork,Animal
CP044023.1,pork,pork,Animal
CP044022.1,pork,pork,Animal
CP063758.1,Veal,Veal,Animal
CP063757.1,Veal,Veal,Animal
CP063755.1,Veal,Veal,Animal
CP063738.1,Veal,Veal,Animal
CP063737.1,Veal,Veal,Animal
CP063735.1,Veal,Veal,Animal
CP063734.1,Veal,Veal,Animal
CP063733.1,Veal,Veal,Animal
CP063732.1,Veal,Veal,Animal
CP063731.1,Veal,Veal,Animal
CP063744.1,Veal,Veal,Animal
CP063743.1,Veal,Veal,Animal
CP063741.1,Veal,Veal,Animal
CP063740.1,Veal,Veal,Animal
CP063730.1,Veal,Veal,Animal
CP063728.1,Veal,Veal,Animal
CP063727.1,Veal,Veal,Animal
CP063726.1,Veal,Veal,Animal
CP063725.1,Veal,Veal,Animal
CP063724.1,Veal,Veal,Animal
CP063723.1,Veal,Veal,Animal
CP063712.1,Veal,Veal,Animal
CP063722.1,Veal,Veal,Animal
CP063721.1,Veal,Veal,Animal
CP063719.1,Veal,Veal,Animal
CP063718.1,Veal,Veal,Animal
CP063717.1,Veal,Veal,Animal
CP063716.1,Veal,Veal,Animal
CP063715.1,Veal,Veal,Animal
CP063714.1,Veal,Veal,Animal
CP063457.1,Homo sapiens,,Human
LR890631.1,Homo sapiens,rectal swab,Human
LR890630.1,Homo sapiens,rectal swab,Human
LR890629.1,Homo sapiens,rectal swab,Human
LR890628.1,Homo sapiens,rectal swab,Human
LR606155.1,paddy soil contaminated with arsenic due to geogenic reasons,paddy soil contaminated with arsenic due to geogenic reasons,Env.
LR606154.1,paddy soil contaminated with arsenic due to geogenic reasons,paddy soil contaminated with arsenic due to geogenic reasons,Env.
LR606146.1,paddy soil contaminated with arsenic due to geogenic reasons,paddy soil contaminated with arsenic due to geogenic reasons,Env.
LR606145.1,paddy soil contaminated with arsenic due to geogenic reasons,paddy soil contaminated with arsenic due to geogenic reasons,Env.
CP043994.1,Agroiconota sp.,,Animal
CP043992.1,Charidotella sexpunctata,,Animal
CP062309.1,Discomorpha sp.,,Animal
CP043990.1,Acromis sparsa,,Animal
CP043988.1,Cistudinella sp.,,Animal
CP043986.1,Chelymorpha alternans,,Animal
CP043984.1,Ischnocodia annulus,,Animal
CP043982.1,Parachirida sp.,,Animal
CP043981.1,Parachirida sp.,,Animal
CP043979.1,Cassida vibex,,Animal
CP043977.1,Cassida sp.,,Animal
CP043976.1,Cassida sp.,,Animal
CP043974.1,Cassida viridis,,Animal
CP063018.1,Homo sapiens,urine,Human
CP063017.1,Homo sapiens,urine,Human
CP063016.1,Homo sapiens,urine,Human
CP063015.1,Homo sapiens,urine,Human
CP063014.1,Homo sapiens,urine,Human
CP062996.1,Homo sapiens,sputum,Human
CP062995.1,Homo sapiens,sputum,Human
CP062994.1,Homo sapiens,sputum,Human
CP063084.1,Homo sapiens,stool,Human
AP022556.1,Homo sapiens,,Human
AP022555.1,Homo sapiens,,Human
AP022554.1,Homo sapiens,,Human
CP058024.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP049509.1,Homo sapiens,blood,Human
CP061860.1,Seriola lalandi,farmed fish,Animal
CP061859.1,Seriola lalandi,farmed fish,Animal
CP061858.1,Seriola lalandi,farmed fish,Animal
CP061857.1,Seriola lalandi,farmed fish,Animal
CP061856.1,Seriola lalandi,farmed fish,Animal
CP061866.1,Seriola lalandi,,Animal
CP061865.1,Seriola lalandi,,Animal
CP061864.1,Seriola lalandi,,Animal
CP061863.1,Seriola lalandi,,Animal
CP052027.1,Homo sapiens,blood,Human
CP052026.1,Homo sapiens,blood,Human
CP052023.1,Homo sapiens,blood,Human
CP052020.1,Homo sapiens,blood,Human
CP052017.1,Homo sapiens,blood,Human
CP052014.1,Homo sapiens,blood,Human
CP052013.1,Homo sapiens,blood,Human
CP052011.1,Homo sapiens,blood,Human
CP052009.1,Homo sapiens,blood,Human
CP052007.1,Homo sapiens,other,Human
CP052005.1,Homo sapiens,blood,Human
CP052002.1,Homo sapiens,blood,Human
CP052000.1,Homo sapiens,blood,Human
CP051998.1,Homo sapiens,blood,Human
CP051995.1,Homo sapiens,respiratory,Human
CP051994.1,Homo sapiens,respiratory,Human
CP051993.1,Homo sapiens,blood,Human
CP051992.1,Homo sapiens,blood,Human
CP051987.1,Homo sapiens,blood,Human
CP051986.1,Homo sapiens,blood,Human
CP051985.1,Homo sapiens,blood,Human
CP051980.1,Homo sapiens,blood,Human
CP051979.1,Homo sapiens,blood,Human
CP051977.1,Homo sapiens,blood,Human
CP051975.1,Homo sapiens,blood,Human
CP051973.1,Homo sapiens,blood,Human
CP051970.1,Homo sapiens,blood,Human
CP051969.1,Homo sapiens,blood,Human
CP051968.1,Homo sapiens,blood,Human
CP051966.1,Homo sapiens,blood,Human
CP051964.1,Homo sapiens,blood,Human
CP051960.1,Homo sapiens,blood,Human
CP051959.1,Homo sapiens,blood,Human
CP052031.1,Homo sapiens,blood,Human
CP052030.1,Homo sapiens,blood,Human
CP051956.1,Homo sapiens,blood,Human
CP051955.1,Homo sapiens,blood,Human
CP051953.1,Homo sapiens,blood,Human
CP051951.1,Homo sapiens,blood,Human
CP051950.1,Homo sapiens,blood,Human
CP051946.1,Homo sapiens,respiratory,Human
CP051944.1,Homo sapiens,respiratory,Human
CP051940.1,Homo sapiens,blood,Human
CP051936.1,Homo sapiens,Surveillance,Human
CP051931.1,Homo sapiens,wound,Human
CP051930.1,Homo sapiens,blood,Human
CP051928.1,Homo sapiens,blood,Human
CP051925.1,Homo sapiens,blood,Human
CP051924.1,Homo sapiens,blood,Human
CP051923.1,Homo sapiens,blood,Human
CP051920.1,Homo sapiens,blood,Human
CP051913.1,Homo sapiens,blood,Human
CP051911.1,Homo sapiens,blood,Human
CP051908.1,Homo sapiens,blood,Human
CP051906.1,Homo sapiens,blood,Human
CP051904.1,Homo sapiens,blood,Human
CP051900.1,Homo sapiens,wound,Human
CP051899.1,Homo sapiens,blood,Human
CP051897.1,Homo sapiens,blood,Human
CP051896.1,Homo sapiens,blood,Human
CP051894.1,Homo sapiens,blood,Human
CP051892.1,Homo sapiens,Surveillance,Human
CP051891.1,Homo sapiens,Surveillance,Human
CP052747.1,Homo sapiens,blood,Human
CP052745.1,Homo sapiens,blood,Human
CP050008.1,Homo sapiens,blood,Human
CP050006.1,Homo sapiens,blood,Human
CP050005.1,Homo sapiens,blood,Human
CP050003.1,Homo sapiens,blood,Human
CP050001.1,Homo sapiens,blood,Human
CP050000.1,Homo sapiens,blood,Human
CP049999.1,Homo sapiens,blood,Human
CP049998.1,Homo sapiens,blood,Human
CP049997.1,Homo sapiens,blood,Human
CP049996.1,Homo sapiens,blood,Human
CP049995.1,Homo sapiens,blood,Human
CP049993.1,Homo sapiens,blood,Human
CP049992.1,Homo sapiens,blood,Human
CP049585.1,Homo sapiens,blood,Human
CP049584.1,Homo sapiens,blood,Human
CP049582.1,Homo sapiens,blood,Human
CP049579.1,Homo sapiens,blood,Human
CP049578.1,Homo sapiens,blood,Human
CP049577.1,Homo sapiens,blood,Human
CP049576.1,Homo sapiens,blood,Human
CP049574.1,Homo sapiens,blood,Human
CP049571.1,Homo sapiens,blood,Human
CP049568.1,Homo sapiens,blood,Human
CP049566.1,Homo sapiens,blood,Human
CP049563.1,Homo sapiens,blood,Human
CP049562.1,Homo sapiens,blood,Human
CP049559.1,Homo sapiens,blood,Human
CP049557.1,Homo sapiens,blood,Human
CP049553.1,Homo sapiens,blood,Human
CP049552.1,Homo sapiens,blood,Human
CP049549.1,Homo sapiens,blood,Human
CP049546.1,Homo sapiens,blood,Human
CP049543.1,Homo sapiens,blood,Human
CP049541.1,Homo sapiens,blood,Human
CP049539.1,Homo sapiens,blood,Human
CP049538.1,Homo sapiens,blood,Human
CP049536.1,Homo sapiens,blood,Human
CP049533.1,Homo sapiens,blood,Human
CP049532.1,Homo sapiens,blood,Human
CP049531.1,Homo sapiens,blood,Human
CP049527.1,Homo sapiens,blood,Human
CP049521.1,Homo sapiens,blood,Human
CP049520.1,Homo sapiens,blood,Human
CP049517.1,Homo sapiens,blood,Human
CP049516.1,Homo sapiens,blood,Human
CP049514.1,Homo sapiens,blood,Human
CP049513.1,Homo sapiens,blood,Human
CP049512.1,Homo sapiens,blood,Human
CP049507.1,Homo sapiens,blood,Human
CP049506.1,Homo sapiens,blood,Human
CP049502.1,Homo sapiens,blood,Human
CP049498.1,Homo sapiens,blood,Human
CP049497.1,Homo sapiens,blood,Human
CP049492.1,Homo sapiens,blood,Human
CP049491.1,Homo sapiens,blood,Human
CP049489.1,Homo sapiens,blood,Human
CP049487.1,Homo sapiens,blood,Human
CP049484.1,Homo sapiens,blood,Human
CP049483.1,Homo sapiens,blood,Human
CP049479.1,Homo sapiens,blood,Human
CP049477.1,Homo sapiens,blood,Human
CP049475.1,Homo sapiens,blood,Human
CP049471.1,Homo sapiens,blood,Human
CP049469.1,Homo sapiens,blood,Human
CP049466.1,Homo sapiens,blood,Human
CP049464.1,Homo sapiens,blood,Human
CP049459.1,Homo sapiens,blood,Human
CP049462.1,Homo sapiens,blood,Human
CP049457.1,Homo sapiens,blood,Human
CP049456.1,Homo sapiens,blood,Human
CP049455.1,Homo sapiens,blood,Human
CP049451.1,Homo sapiens,blood,Human
CP049450.1,Homo sapiens,blood,Human
CP049449.1,Homo sapiens,blood,Human
CP049447.1,Homo sapiens,blood,Human
CP049446.1,Homo sapiens,blood,Human
CP049444.1,Homo sapiens,blood,Human
CP049442.1,Homo sapiens,blood,Human
CP049439.1,Homo sapiens,blood,Human
CP049438.1,Homo sapiens,blood,Human
CP049436.1,Homo sapiens,blood,Human
CP049433.1,Homo sapiens,blood,Human
CP049430.1,Homo sapiens,blood,Human
CP049428.1,Homo sapiens,blood,Human
CP049426.1,Homo sapiens,blood,Human
CP049424.1,Homo sapiens,blood,Human
CP049422.1,Homo sapiens,blood,Human
CP049419.1,Homo sapiens,blood,Human
CP049588.1,Homo sapiens,blood,Human
CP049415.1,Homo sapiens,blood,Human
CP049414.1,Homo sapiens,nose,Human
CP049412.1,Homo sapiens,nose,Human
CP049411.1,Homo sapiens,wound,Human
CP049408.1,Homo sapiens,blood,Human
CP049407.1,Homo sapiens,blood,Human
CP049404.1,Homo sapiens,blood,Human
CP049402.1,Homo sapiens,blood,Human
CP049401.1,Homo sapiens,blood,Human
CP049398.1,Homo sapiens,blood,Human
CP049396.1,Homo sapiens,blood,Human
CP049393.1,Homo sapiens,blood,Human
CP049392.1,Homo sapiens,blood,Human
CP049391.1,Homo sapiens,blood,Human
CP049385.1,Homo sapiens,blood,Human
CP049382.1,Homo sapiens,blood,Human
CP049378.1,Homo sapiens,blood,Human
CP049375.1,Homo sapiens,blood,Human
CP049373.1,Homo sapiens,blood,Human
CP049372.1,Homo sapiens,blood,Human
CP049370.1,Homo sapiens,blood,Human
CP061360.1,Homo sapiens,infant sputum,Human
CP061366.1,Homo sapiens,feces,Human
CP061365.1,Homo sapiens,feces,Human
CP061364.1,Homo sapiens,feces,Human
CP061363.1,Homo sapiens,feces,Human
CP061690.1,Homo sapiens,blood,Human
CP061689.1,Homo sapiens,blood,Human
CP061688.1,Homo sapiens,blood,Human
CP061697.1,Homo sapiens,blood,Human
CP061696.1,Homo sapiens,blood,Human
CP061695.1,Homo sapiens,blood,Human
CP061694.1,Homo sapiens,blood,Human
CP061693.1,Homo sapiens,blood,Human
CP061692.1,Homo sapiens,blood,Human
CP061674.1,Homo sapiens,blood,Human
CP061673.1,Homo sapiens,blood,Human
CP061654.1,Homo sapiens,blood,Human
CP061653.1,Homo sapiens,blood,Human
CP061652.1,Homo sapiens,blood,Human
CP061651.1,Homo sapiens,blood,Human
CP061671.1,Homo sapiens,blood,Human
CP061670.1,Homo sapiens,blood,Human
CP061659.1,Homo sapiens,blood,Human
CP061658.1,Homo sapiens,blood,Human
CP061657.1,Homo sapiens,blood,Human
CP061656.1,Homo sapiens,blood,Human
CP061570.1,Homo sapiens,blood,Human
CP061569.1,Homo sapiens,blood,Human
CP061602.1,Homo sapiens,blood,Human
CP061601.1,Homo sapiens,blood,Human
CP061600.1,Homo sapiens,blood,Human
CP061599.1,Homo sapiens,blood,Human
CP061612.1,Homo sapiens,blood,Human
CP061611.1,Homo sapiens,blood,Human
CP061610.1,Homo sapiens,blood,Human
CP061567.1,Homo sapiens,blood,Human
CP061566.1,Homo sapiens,blood,Human
CP061577.1,Homo sapiens,blood,Human
CP061576.1,Homo sapiens,blood,Human
CP061575.1,Homo sapiens,blood,Human
CP061574.1,Homo sapiens,blood,Human
CP061573.1,Homo sapiens,blood,Human
CP061572.1,Homo sapiens,blood,Human
CP061591.1,Homo sapiens,blood,Human
CP061590.1,Homo sapiens,blood,Human
CP061555.1,Homo sapiens,blood,Human
CP061554.1,Homo sapiens,blood,Human
CP061553.1,Homo sapiens,blood,Human
CP061552.1,Homo sapiens,blood,Human
CP061560.1,Homo sapiens,blood,Human
CP061559.1,Homo sapiens,blood,Human
CP061558.1,Homo sapiens,blood,Human
CP061557.1,Homo sapiens,blood,Human
CP061549.1,Homo sapiens,blood,Human
CP061548.1,Homo sapiens,blood,Human
CP061547.1,Homo sapiens,blood,Human
CP061546.1,Homo sapiens,blood,Human
CP061545.1,Homo sapiens,blood,Human
CP061544.1,Homo sapiens,blood,Human
CP061542.1,Homo sapiens,Yunsong Yu's Lab,Human
CP040926.1,Echinacea purpurea,artificially infected Catharanthus roseus,Env.
CP061277.1,Pentalonia nigronervosa,,Animal
CP061276.1,Pentalonia nigronervosa,,Animal
CP058593.1,Homo sapiens,feces,Human
CP058592.1,Homo sapiens,feces,Human
CP058591.1,Homo sapiens,feces,Human
CP058590.1,Homo sapiens,feces,Human
CP060167.1,Homo sapiens,blood,Human
CP060166.1,Homo sapiens,blood,Human
CP060119.1,Homo sapiens,,Human
CP060118.1,Homo sapiens,,Human
CP050295.1,Oxytropis kamtschatica,root nodule,Env.
CP050294.1,Oxytropis kamtschatica,root nodule,Env.
CP050552.1,Vicia sativa,root nodule,Env.
CP050551.1,Vicia sativa,root nodule,Env.
CP050550.1,Vicia sativa,root nodule,Env.
CP050557.1,Vicia sativa,root nodule,Env.
CP050556.1,Vicia sativa,root nodule,Env.
CP050554.1,Vicia sativa,root nodule,Env.
CP050553.1,Vicia sativa,root nodule,Env.
CP050561.1,Melilotus officinalis,root nodule,Env.
CP050560.1,Melilotus officinalis,root nodule,Env.
CP050559.1,Melilotus officinalis,root nodule,Env.
CP050513.1,Medicago sativa,root nodule,Env.
CP050512.1,Medicago sativa,root nodule,Env.
CP050566.1,Lathyrus sativus,root nodule,Env.
CP050565.1,Lathyrus sativus,root nodule,Env.
CP050564.1,Lathyrus sativus,root nodule,Env.
CP050563.1,Lathyrus sativus,root nodule,Env.
CP050519.1,Trifolium repens,root nodule,Env.
CP050518.1,Trifolium repens,root nodule,Env.
CP050517.1,Trifolium repens,root nodule,Env.
CP050516.1,Trifolium repens,root nodule,Env.
CP050515.1,Trifolium repens,root nodule,Env.
CP059946.1,Turkey,,Animal
CP059945.1,Turkey,,Animal
CP059930.1,Turkey,,Animal
CP059928.1,Turkey,,Animal
CP059927.1,Turkey,,Animal
CP059926.1,Turkey,,Animal
CP059924.1,Turkey,,Animal
CP059923.1,Turkey,,Animal
CP059906.1,Turkey,,Animal
CP059905.1,Turkey,,Animal
CP049607.1,Homo sapiens,stool,Human
CP049280.1,Homo sapiens,stool,Human
CP049279.1,Homo sapiens,stool,Human
CP011076.1,Oryza sativa,,Env.
CP011075.1,Oryza sativa,,Env.
CP058011.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP058010.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP058018.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP058017.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP058016.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP058015.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP058030.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP058029.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP058028.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP058044.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP058043.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP058050.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP058049.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP058048.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP058056.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP058054.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP058069.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP058068.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP058067.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP058066.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
